Date,Open,High,Close
7/9/02,9273.38,9357.35,9096.09
7/8/02,9375.7,9433.08,9274.9
7/5/02,9061.54,9399.65,9379.5
7/3/02,9006.37,9140.32,9054.97
7/2/02,9104.95,9185.88,9007.75
7/1/02,9239.25,9381.37,9109.79
6/28/02,9270.33,9435.44,9243.26
6/27/02,9122.12,9342.33,9269.92
6/26/02,9108.22,9207.07,9120.11
6/25/02,9285.56,9457.38,9126.82
6/24/02,9252.47,9417.23,9281.82
6/21/02,9430.66,9456.76,9253.79
6/20/02,9561.64,9628.11,9431.77
6/19/02,9702,9760.2,9561.57
6/18/02,9684.52,9775.83,9706.12
6/17/02,9476.5,9736.58,9687.42
6/14/02,9498.92,9538.93,9474.21
6/13/02,9612.87,9671.64,9502.8
6/12/02,9515.12,9682.37,9617.71
6/11/02,9647.62,9794.17,9517.26
6/10/02,9587.38,9744.33,9645.4
6/7/02,9592.38,9668.18,9589.67
6/6/02,9795.7,9820.41,9624.64
6/5/02,9688.53,9860.91,9796.8
6/4/02,9710.34,9798.74,9687.84
6/3/02,9923.94,10016.04,9709.79
5/31/02,9915.15,10074.16,9925.25
5/30/02,9915.01,9995.76,9911.69
5/29/02,9976.94,10056.31,9923.04
5/28/02,10106.54,10144.53,9981.58
5/24/02,10211.92,10255.93,10104.26
5/23/02,10158.3,10268.87,10216.08
5/22/02,10098.58,10200.78,10157.88
5/21/02,10229.08,10322.15,10105.71
5/20/02,10348.93,10357.44,10229.5
5/17/02,10291.05,10400.62,10353.08
5/16/02,10242.11,10374.05,10289.21
5/15/02,10288.56,10382.97,10243.68
5/14/02,10119.34,10346.59,10298.14
5/13/02,9938.82,10148.71,10109.66
5/10/02,10040.25,10115.23,9939.92
5/9/02,10137.96,10185.08,10037.42
5/8/02,9847.96,10203.76,10141.83
5/7/02,9810.53,9985.32,9836.55
5/6/02,10005.8,10081.98,9808.04
5/3/02,10091.73,10130.97,10006.63
5/2/02,10057.62,10182.94,10091.87
5/1/02,9944.9,10121.21,10059.63
4/30/02,9818.9,10063.64,9946.22
4/29/02,9910.52,10012.16,9819.87
4/26/02,10037.42,10127.85,9910.72
4/25/02,10028.7,10103.64,10035.06
4/24/02,10090.07,10209.64,10030.43
4/23/02,10137.2,10243.06,10089.24
4/22/02,10256,10299.39,10136.43
4/19/02,10212.69,10338.83,10257.11
4/18/02,10219.47,10334.67,10205.28
4/17/02,10299.66,10379.51,10220.78
4/16/02,10100.38,10365.12,10301.32
4/15/02,10189.57,10261.05,10093.67
4/12/02,10178.57,10312.26,10190.82
4/11/02,10378.89,10425.87,10176.08
4/10/02,10210.4,10437.43,10381.73
4/9/02,10249.84,10362.98,10208.67
4/8/02,10258.91,10300.78,10249.08
4/5/02,10235.8,10403.66,10271.64
4/4/02,10199.54,10301.53,10235.17
4/3/02,10311.81,10377.09,10198.29
4/2/02,10352.46,10394.94,10313.71
4/1/02,10402.07,10434.52,10362.7
3/28/02,10429.68,10537.48,10403.94
3/27/02,10351.28,10490.15,10426.91
3/26/02,10280.51,10475,10353.36
3/25/02,10428.43,10497.76,10281.67
3/22/02,10477.7,10537.62,10427.67
3/21/02,10501.99,10577.82,10479.84
3/20/02,10626.85,10634.84,10501.57
3/19/02,10578.38,10722.78,10635.25
3/18/02,10608.54,10707.01,10577.75
3/15/02,10516.45,10663.69,10607.23
3/14/02,10501.29,10615.74,10517.14
3/13/02,10620.17,10648.68,10501.85
3/12/02,10604.32,10682.72,10632.35
3/11/02,10570.07,10679.68,10611.24
3/8/02,10531.67,10728.87,10572.49
3/7/02,10578.1,10663.82,10525.37
3/6/02,10431.96,10637.19,10574.29
3/5/02,10591.38,10639.96,10433.41
3/4/02,10368.1,10656.5,10586.82
3/1/02,10111.04,10397.09,10368.86
2/28/02,10130.28,10283.89,10106.13
2/27/02,10117.65,10315.72,10127.58
2/26/02,10145.86,10241.89,10115.26
2/25/02,9969.75,10204.04,10145.71
2/22/02,9834.89,10032.45,9968.15
2/21/02,9933.56,10072.98,9834.68
2/20/02,9742.37,9990.78,9941.17
2/19/02,9899.24,9923.39,9745.14
2/15/02,10000.83,10065.37,9903.04
2/14/02,9989.67,10092.29,10001.99
2/13/02,9856.99,10056.24,9989.67
2/12/02,9880.35,9943.24,9863.74
2/11/02,9739.81,9933.07,9884.78
2/8/02,9627.65,9795.38,9744.24
2/7/02,9650.97,9799.67,9625.44
2/6/02,9682.04,9801.33,9653.39
2/5/02,9684.74,9842.77,9685.43
2/4/02,9905.46,9940.96,9687.09
2/1/02,9923.04,10022.82,9907.26
1/31/02,9763.2,9963.79,9920
1/30/02,9619.14,9821.81,9762.86
1/29/02,9865.54,9952.59,9618.24
1/28/02,9843.05,9959.44,9865.75
1/25/02,9793.23,9949.54,9840.08
1/24/02,9734.21,9926.71,9796.07
1/23/02,9710.96,9853.64,9730.96
1/22/02,9772.34,9905.26,9713.8
1/18/02,9830.94,9873.98,9771.85
1/17/02,9712.21,9910.11,9850.04
1/16/02,9916.54,9923.32,9712.27
1/15/02,9892.73,10038.94,9924.15
1/14/02,9985.38,10038.87,9891.42
1/11/02,10069.52,10163.77,9987.53
1/10/02,10092.5,10174.91,10067.86
1/9/02,10153.18,10311.98,10094.09
1/8/02,10195.76,10270.53,10150.55
1/7/02,10261.33,10345.4,10197.05
1/4/02,10176.84,10341.87,10259.74
1/3/02,10073.88,10227.36,10172.14
1/2/02,10021.71,10125.85,10073.4
12/31/01,10136.36,10178.71,10021.57
12/28/01,10133.94,10220.78,10136.99
12/27/01,10088.71,10187.71,10131.31
12/26/01,10035.55,10203.28,10088.14
12/24/01,10036.59,10114.91,10035.34
12/21/01,9986.84,10148.13,10035.34
12/20/01,10064.13,10141.21,9985.18
12/19/01,9994.59,10142.95,10070.49
12/18/01,9893.22,10066.27,9998.39
12/17/01,9809.42,9996.25,9891.97
12/14/01,9764.72,9888.44,9811.15
12/13/01,9889.13,9927.95,9766.45
12/12/01,9887.27,9985.59,9894.81
12/11/01,9925.6,10063.98,9888.37
12/10/01,10047.04,10123.78,9921.45
12/7/01,10099.14,10160.24,10049.46
